[u'job', u'Engineering', u'Sunnyvale', u'Hiring']point(37.36883,-122.0363496)  02/23/2017
[u'job', u'BusinessMgmt', u'Hayward', u'Veterans', u'Hiring', u'CareerArc']point(37.6476432,-122.1304867)  02/23/2017
[u'lasvegas', u'hedarys', u'yummy', u'food']point(36.1433,-115.25355)  02/23/2017
[]point(40.43071,-80.00757)  02/23/2017
[u'tech', u'vacationmode', u'housing', u'hotels']point(26.7124901,-80.0525665)  02/23/2017
[u'CentennialHall', u'ldnont']point(42.98908994,-81.24684093)  02/23/2017
[u'orlando', u'madeincojedes']point(28.38283,-81.40394)  02/23/2017
[]point(33.55739,-117.12926)  02/23/2017
[u'cabernetsauvignon', u'chardonnay', u'muscat']point(38.32361111,-122.225)  02/23/2017
[]point(29.7629,-95.3832)  02/23/2017
[u'orlando', u'madeincojedes']point(28.38283,-81.40394)  02/23/2017
[u'mammothstories', u'mammoth', u'gopro', u'goprosnow']point(37.65078398,-119.0373189)  02/23/2017
[]point(41.6745,-72.94619)  02/23/2017
[u'Flying', u'Avi\xe3o', u'Fly', u'Airplane', u'Aircraft', u'Airport', u'Aeroporto', u'MIA', u'Miami', u'EUA', u'Viagem', u'Trip']point(25.78973351,-80.26927912)  02/23/2017
[]point(34.0413,-118.262)  02/23/2017
[u'HeadyHills']point(29.79906874,-98.02187103)  02/23/2017
[]point(40.75017,-73.989377)  02/23/2017
[]point(34.09781363,-118.32872827)  02/23/2017
[]point(34.07302381,-117.18414993)  02/23/2017
[u'wrap', u'startupgrind', u'great', u'team', u'speakers', u'sessions', u'awesome', u'time']point(37.4863523,-122.2296402)  02/23/2017
[u'SouthWard']point(40.73666667,-74.15027778)  02/23/2017
[]point(37.63132593,-77.46535767)  02/23/2017
[]point(40.65,-73.95)  02/23/2017
[]point(40.72102,-73.98109)  02/23/2017
[u'Vancouver', u'job', u'Veterans', u'Hiring', u'CareerArc']point(49.2827291,-123.1207375)  02/23/2017
[u'Seattle', u'job', u'Hospitality', u'Hiring']point(47.6062095,-122.3320708)  02/23/2017
[u'Yateenbocachica', u'quediranlosperiodistas', u'cococabrera', u'MeBaaasta']point(40.7142,-74.0064)  02/23/2017
[u'job', u'SanFrancisco', u'Purchasing', u'Hiring']point(37.8017317,-122.4022811)  02/23/2017
[u'hiring', u'job', u'Cosmetology', u'Abbotsford', u'CareerArc']point(49.044707,-122.2224568)  02/23/2017
[u'Pleasanton', u'job']point(37.6873908,-121.9131761)  02/23/2017
[u'brightonboyzz']point(42.34842013,-71.15475812)  02/23/2017
[u'job', u'NewYork', u'Retail', u'Hiring']point(40.5795317,-74.1502007)  02/23/2017
[u'travel', u'wanderlust', u'explore', u'adventure', u'discover', u'keepexploring', u'traveloften', u'Michigan']point(42.777,-86.1066)  02/23/2017
[u'hiring', u'Labor', u'Portland', u'Job', u'Jobs', u'CareerArc']point(45.5767359,-122.6386722)  02/23/2017
[u'Scranton', u'job', u'Hospitality', u'Veterans', u'Hiring']point(41.408969,-75.6624122)  02/23/2017
[]point(32.7153,-117.156)  02/23/2017
[]point(25.82624,-80.19175)  02/23/2017
[]point(39.86609,-85.97505)  02/23/2017
[]point(43.15804899,-78.6818597)  02/23/2017
[]point(38.84304392,-84.64031744)  02/23/2017
[u'chateaulife']point(43.69351558,-116.39968234)  02/23/2017
[]point(29.9204,-90.1127)  02/23/2017
[]point(28.4752,-81.467)  02/23/2017
[u'KeepTheDribbleAlive', u'Blessed', u'PointGuard', u'NBAworthy', u'ilovethisgame']point(34.20101654,-118.42429519)  02/23/2017
[u'hiring', u'Washington', u'Georgetown']point(38.9071923,-77.0368707)  02/23/2017
[u'Old_Toronto']point(43.659444,-79.3659915)  02/23/2017
